EVENT_ID,EVENT_STATE,EVENT_CLASS,EVENT_TYPE,FACILITY_NAME,DIRECTION,ARTICLE_CODE,FROM_LOC_POINT,TO_LOC_POINT,CREATE_TIME,LAST_UPDATE,CLOSE_TIME,EVENT_DESCRIPTION,CITY,COUNTY,STATE,LAT,LON,TO_LAT,TO_LON,START_DATE,END_DATE,INCIDENT_IMPACT,UPDATE_NUMBER,WAZE_EVENT_ID,time
'2018110100002600005075',closed,incident,minor accident,I-30 E,Eastbound,,,,11/1/2018 12:00:26 AM,11/1/2018 1:24:34 AM,11/1/2018 1:24:34 AM,Waze Alert: minor accident on I-30 E Eastbound  (in Dallas) ,Dallas,Dallas,TX,32.791163,-96.749703,0,0,,,,0,,2018-11-01 00:00:26
'2018110100181100005075',closed,incident,other,I-35E S,Southbound,,,,11/1/2018 12:18:11 AM,11/1/2018 1:02:35 AM,11/1/2018 1:02:35 AM,Waze Alert: other on I-35E S Southbound  (in Glenn Heights) ,Glenn Heights,Dallas,TX,32.559553,-96.822538,0,0,,,,0,,2018-11-01 00:18:11
'2018110100210000005075',closed,incident,road closed,Warren Pkwy,Northbound,,,,11/1/2018 12:21:00 AM,11/1/2018 10:22:58 PM,11/2/2018 9:00:52 AM,Waze Alert: road closed on Warren Pkwy Northbound  (in Frisco) ; per 249,Frisco,Collin,TX,33.109015,-96.802718,0,0,,,,1,,2018-11-01 00:21:00
'2018110100222500005075',closed,incident,stopped car on the shoulder,I-820 E,Eastbound,,,,11/1/2018 12:22:25 AM,11/1/2018 1:08:33 AM,11/1/2018 1:08:33 AM,Waze Alert: stopped car on the shoulder on I-820 E Eastbound  (in Fort Worth) ,Fort Worth,Tarrant,TX,32.839193,-97.294523,0,0,,,,0,,2018-11-01 00:22:25
'2018110100234000005075',closed,incident,traffic jam,Warren Pkwy,,,,Ohio Dr,11/1/2018 12:23:40 AM,11/1/2018 12:23:40 AM,11/1/2018 11:00:57 AM,Waze Slowdown: traffic jam on Warren Pkwy  (in Frisco) ,Frisco,Collin,TX,33.109015,-96.802718,33.109003,-96.80129,,,,0,,2018-11-01 00:23:40
